#mu,eb,a_crit
0.080,0.74,0.036
0.170,0.67,0.045
0.220,0.74,0.034
0.170,0.68,0.044
0.080,0.75,0.034
0.120,0.60,0.058
0.210,0.52,0.068
0.070,0.52,0.079
0.160,0.45,0.086
0.220,0.75,0.032
0.170,0.69,0.042
0.110,0.37,0.112
0.220,0.76,0.032
0.240,0.15,0.187
0.070,0.53,0.075
0.220,0.77,0.030
0.150,0.23,0.160
0.030,0.67,0.051
0.170,0.70,0.040
0.160,0.46,0.085
0.120,0.61,0.056
0.020,0.44,0.114
0.060,0.30,0.147
0.200,0.30,0.124
0.080,0.76,0.033
0.220,0.78,0.029
0.110,0.38,0.109
0.240,0.16,0.181
0.170,0.71,0.039
0.190,0.08,0.247
0.100,0.15,0.220
0.220,0.79,0.027
0.210,0.53,0.067
0.050,0.08,0.355
0.001,0.00,0.647
0.120,0.62,0.055
0.220,0.80,0.026
0.170,0.72,0.039
0.030,0.68,0.050
0.200,0.31,0.122
0.110,0.39,0.106
0.160,0.47,0.081
0.140,0.01,0.374
0.240,0.17,0.177
0.210,0.54,0.064
0.020,0.45,0.109
0.120,0.63,0.054
0.010,0.22,0.236
0.170,0.73,0.037
0.060,0.31,0.141
0.110,0.40,0.102
0.030,0.69,0.048
0.170,0.74,0.035
0.210,0.55,0.063
0.160,0.48,0.079
0.120,0.64,0.052
0.100,0.16,0.215
0.080,0.77,0.033
0.200,0.32,0.118
0.030,0.70,0.047
0.120,0.65,0.050
0.150,0.24,0.154
0.190,0.09,0.241
0.110,0.41,0.100
0.170,0.75,0.033
0.080,0.78,0.030
0.210,0.56,0.064
0.050,0.09,0.349
0.230,0.00,0.358
0.060,0.32,0.136
0.020,0.46,0.107
0.030,0.71,0.046
0.160,0.49,0.077
0.120,0.66,0.049
0.170,0.76,0.032
0.200,0.33,0.112
0.070,0.54,0.074
0.080,0.79,0.030
0.240,0.18,0.171
0.140,0.02,0.363
0.030,0.72,0.043
0.100,0.17,0.205
0.210,0.57,0.060
0.160,0.50,0.076
0.170,0.77,0.030
0.120,0.67,0.048
0.001,0.01,0.648
0.170,0.78,0.029
0.080,0.80,0.028
0.110,0.42,0.097
0.210,0.58,0.058
0.150,0.25,0.151
0.100,0.18,0.199
0.160,0.51,0.073
0.120,0.68,0.046
0.030,0.73,0.042
0.010,0.23,0.227
0.170,0.79,0.028
0.200,0.34,0.113
0.070,0.55,0.071
0.190,0.10,0.228
0.050,0.10,0.346
0.120,0.69,0.044
0.030,0.74,0.042
0.230,0.01,0.357
0.020,0.47,0.100
0.210,0.59,0.056
0.110,0.43,0.095
0.120,0.70,0.043
0.030,0.75,0.040
0.100,0.19,0.193
0.060,0.33,0.132
0.160,0.52,0.071
0.210,0.60,0.054
0.200,0.35,0.110
0.240,0.19,0.164
0.120,0.71,0.041
0.070,0.56,0.068
0.030,0.76,0.040
0.190,0.11,0.226
0.120,0.72,0.039
0.210,0.61,0.054
0.160,0.53,0.069
0.110,0.44,0.092
0.170,0.80,0.026
0.120,0.73,0.037
0.030,0.77,0.040
0.200,0.36,0.105
0.070,0.57,0.069
0.210,0.62,0.051
0.150,0.26,0.146
0.110,0.45,0.092
0.120,0.74,0.036
0.001,0.02,0.647
0.030,0.78,0.037
0.160,0.54,0.068
0.210,0.63,0.049
0.100,0.20,0.186
0.120,0.75,0.034
0.190,0.12,0.220
0.070,0.58,0.065
0.200,0.37,0.105
0.030,0.79,0.036
0.210,0.64,0.050
0.230,0.02,0.333
0.050,0.11,0.345
0.120,0.76,0.033
0.060,0.34,0.128
0.160,0.55,0.066
0.020,0.48,0.101
0.240,0.20,0.158
0.070,0.59,0.065
0.180,0.00,0.367
0.090,0.00,0.428
0.140,0.03,0.342
0.150,0.27,0.141
0.030,0.80,0.036
0.160,0.56,0.064
0.110,0.46,0.087
0.070,0.60,0.063
0.210,0.65,0.047
0.010,0.24,0.222
0.120,0.77,0.031
0.120,0.78,0.030
0.210,0.66,0.045
0.120,0.79,0.028
0.160,0.57,0.062
0.210,0.67,0.043
0.120,0.80,0.027
0.100,0.21,0.181
0.110,0.47,0.085
0.070,0.61,0.061
0.200,0.38,0.101
0.210,0.68,0.043
0.060,0.35,0.124
0.180,0.01,0.366
0.150,0.28,0.135
0.230,0.03,0.294
0.210,0.69,0.041
0.190,0.13,0.209
0.160,0.58,0.060
0.020,0.49,0.096
0.110,0.48,0.082
0.070,0.62,0.059
0.001,0.03,0.646
0.200,0.39,0.098
0.050,0.12,0.277
0.210,0.70,0.039
0.090,0.01,0.427
0.160,0.59,0.059
0.180,0.02,0.341
0.150,0.29,0.135
0.210,0.71,0.037
0.010,0.25,0.212
0.140,0.04,0.312
0.240,0.21,0.155
0.070,0.63,0.056
0.160,0.60,0.057
0.210,0.72,0.037
0.130,0.00,0.410
0.100,0.22,0.173
0.020,0.50,0.095
0.160,0.61,0.055
0.070,0.64,0.054
0.040,0.00,0.512
0.110,0.49,0.081
0.190,0.14,0.204
0.200,0.40,0.094
0.210,0.73,0.035
0.150,0.30,0.130
0.160,0.62,0.055
0.240,0.22,0.151
0.210,0.74,0.035
0.180,0.03,0.304
0.050,0.13,0.271
0.230,0.04,0.292
0.020,0.51,0.093
0.100,0.23,0.166
0.210,0.75,0.033
0.200,0.41,0.093
0.001,0.04,0.647
0.160,0.63,0.053
0.010,0.26,0.208
0.210,0.76,0.032
0.150,0.31,0.129
0.070,0.65,0.052
0.140,0.05,0.305
0.090,0.02,0.416
0.110,0.50,0.078
0.240,0.23,0.143
0.210,0.77,0.030
0.060,0.36,0.120
0.160,0.64,0.050
0.040,0.01,0.511
0.070,0.66,0.051
0.200,0.42,0.090
0.180,0.04,0.302
0.210,0.78,0.029
0.130,0.01,0.376
0.210,0.79,0.027
0.200,0.43,0.088
0.070,0.67,0.048
0.210,0.80,0.026
0.150,0.32,0.122
0.190,0.15,0.197
0.020,0.52,0.090
0.110,0.51,0.076
0.160,0.65,0.049
0.100,0.24,0.163
0.060,0.37,0.119
0.200,0.44,0.086
0.230,0.05,0.266
0.050,0.14,0.253
0.010,0.27,0.207
0.160,0.66,0.046
0.090,0.03,0.408
0.150,0.33,0.121
0.070,0.68,0.047
0.240,0.24,0.143
0.001,0.05,0.646
0.070,0.69,0.045
0.160,0.67,0.045
0.180,0.05,0.273
0.200,0.45,0.083
0.110,0.52,0.074
0.130,0.02,0.370
0.040,0.02,0.448
0.190,0.16,0.190
0.150,0.34,0.117
0.160,0.68,0.044
0.220,0.00,0.360
0.070,0.70,0.043
0.160,0.69,0.043
0.060,0.38,0.117
0.230,0.06,0.259
0.110,0.53,0.074
0.240,0.25,0.138
0.050,0.15,0.241
0.190,0.17,0.185
0.020,0.53,0.088
0.100,0.25,0.158
0.200,0.46,0.082
0.140,0.06,0.296
0.150,0.35,0.114
0.070,0.71,0.041
0.090,0.04,0.363
0.160,0.70,0.042
0.010,0.28,0.198
0.220,0.01,0.359
0.180,0.06,0.272
0.110,0.54,0.071
0.230,0.07,0.243
0.060,0.39,0.114
0.070,0.72,0.040
0.130,0.03,0.346
0.200,0.47,0.078
0.160,0.71,0.040
0.001,0.06,0.646
0.040,0.03,0.446
0.240,0.26,0.136
0.020,0.54,0.082
0.100,0.26,0.156
0.150,0.36,0.110
0.070,0.73,0.038
0.110,0.55,0.069
0.160,0.72,0.038
0.190,0.18,0.177
0.220,0.02,0.333
0.110,0.56,0.066
0.200,0.48,0.077
0.050,0.16,0.232
0.160,0.73,0.037
0.100,0.27,0.151
0.070,0.74,0.036
0.240,0.27,0.132
0.090,0.05,0.349
0.150,0.37,0.107
0.160,0.74,0.035
0.110,0.57,0.066
0.070,0.75,0.035
0.180,0.07,0.267
0.230,0.08,0.240
0.140,0.07,0.279
0.060,0.40,0.112
0.020,0.55,0.084
